ID,my_cat,reason,informativeness,sharing
1108,Table,3,4,2
1109,Table,2,4,1
1110,Pet,3,4,1
1111,Machine,3,4,1
1112,Screen,1,5,1
1113,Paper&Document&Label,3,4,1
1114,Clothing,1,5,2
1115,Person,1,6,2
1116,Person,1,4,2
1117,Place Identifier,2,6,2
1118,Vehicle Plate,1,6,2
1119,Pet,3,4,2
1120,Accessory,3,5,2
1121,Accessory,3,5,2
1122,Toy,3,3,3
1123,Person,1,5,2
1124,Person,1,6,2
1125,Person,1,6,2
1126,Accessory,1,2,2
1127,Person,1,4,2
1128,Screen,1,5,1
1129,Pet,1,6,1
1130,Person,1,7,2
1131,Person,1,7,2
1132,Person,1,7,2
1133,Person,1,7,2
1134,Table,3,2,2
1135,Person,1,4,1
1136,Clothing,2,4,1
1137,Place Identifier,2,4,2
